year,Tm,playoff_wins,world_series_ind,round,hit_numBat,hit_BatAge,hit_RG,hit_G,hit_PA,hit_AB,hit_R_scored,hit_H,hit_2B,hit_3B,hit_HR,hit_RBI,hit_SB,hit_CS,hit_BB,hit_SO,hit_BA,hit_OBP,hit_SLG,hit_OPS,hit_OPS+,hit_TB,hit_GDP,hit_HBP,hit_SH,hit_SF,hit_IBB,hit_LOB,pitch_numP,pitch_PAge,pitch_RAG,pitch_W,pitch_L,pitch_WL,pitch_ERA,pitch_G,pitch_GS,pitch_GF,pitch_CG,pitch_tSho,pitch_cSho,pitch_SV,pitch_IP,pitch_H,pitch_R_allowed,pitch_ER,pitch_HR,pitch_BB,pitch_IBB,pitch_SO,pitch_HBP,pitch_BK,pitch_WP,pitch_BF,pitch_ERAplus,pitch_FIP,pitch_WHIP,pitch_H9,pitch_HR9,pitch_BB9,pitch_SO9,pitch_SOW,pitch_LOB
1995,ATL,11,1,wsw,40,27.9,4.48,144,5464,4814,645,1202,210,27,168,618,73,43,520,933,0.25,0.326,0.409,0.735,91,1970,106,40,56,34,37,988,20,27.4,3.75,90,54,0.625,3.44,144,144,126,18,11,6,34,1291.2,1184,540,494,107,436,46,1087,32,4,38,5410,123,3.58,1.254,8.2,0.7,3,7.6,2.49,995
1995,BOS,0,0,ds,53,28.6,5.49,144,5716,4997,791,1399,286,31,175,754,99,44,560,923,0.28,0.357,0.455,0.812,108,2272,129,65,45,49,38,1084,26,29.1,4.85,86,58,0.597,4.39,144,144,137,7,9,2,39,1292.2,1338,698,631,127,476,28,888,46,1,57,5600,111,4.22,1.403,9.3,0.9,3.3,6.2,1.87,1024
1995,CIN,3,0,cs,47,28.4,5.19,144,5575,4903,747,1326,277,35,161,694,190,68,519,946,0.27,0.342,0.44,0.782,106,2156,92,40,62,50,42,1001,24,28.3,4.33,85,59,0.59,4.03,144,144,136,8,10,2,38,1289.1,1270,623,578,131,424,32,903,31,10,58,5445,102,4.08,1.314,8.9,0.9,3,6.3,2.13,954
1995,CLE,9,0,wsl,41,29.1,5.83,144,5686,5028,840,1461,279,23,207,803,132,53,542,766,0.291,0.361,0.479,0.839,116,2407,128,35,31,48,40,1018,20,30.6,4.22,100,44,0.694,3.83,144,144,134,10,10,4,50,1301,1261,607,554,135,445,16,926,45,5,48,5512,123,4.16,1.311,8.7,0.9,3.1,6.4,2.08,1002
1995,COL,1,0,ds,41,29.5,5.45,144,5647,4994,785,1406,259,43,200,749,125,59,484,943,0.282,0.35,0.471,0.82,94,2351,118,56,82,31,47,1017,20,28.6,5.44,77,67,0.535,4.97,144,144,143,1,1,0,43,1288.1,1443,783,711,160,512,31,891,41,13,62,5706,108,4.62,1.517,10.1,1.1,3.6,6.2,1.74,1058
1995,LAD,0,0,ds,49,27.3,4.4,144,5544,4942,634,1303,191,31,140,593,127,45,468,1023,0.264,0.329,0.4,0.729,99,1976,99,30,68,35,46,1049,21,27.7,4.23,78,66,0.542,3.66,144,144,128,16,11,9,37,1295,1188,609,526,125,462,45,1060,37,12,49,5481,103,3.88,1.274,8.3,0.9,3.2,7.4,2.29,987
1995,NYY,2,0,ds,42,30.9,5.17,145,5699,4947,749,1365,280,34,122,709,50,30,625,851,0.276,0.357,0.42,0.778,103,2079,139,39,20,68,36,1126,20,28.1,4.74,79,65,0.549,4.56,145,145,127,18,5,3,35,1284.2,1286,688,651,159,535,21,908,32,5,50,5575,102,4.62,1.417,9,1.1,3.7,6.4,1.7,1033
1995,SEA,5,0,cs,46,28.7,5.49,145,5671,4996,796,1377,276,20,182,767,110,41,549,871,0.276,0.35,0.448,0.798,106,2239,109,39,52,34,53,1033,24,28.8,4.88,79,66,0.545,4.5,145,145,136,9,8,3,39,1289.1,1343,708,644,149,591,37,1068,47,7,50,5743,106,4.43,1.5,9.4,1,4.1,7.5,1.81,1167
1996,ATL,9,0,wsl,42,27.9,4.77,162,6293,5614,773,1514,264,28,197,735,83,43,530,1032,0.27,0.333,0.432,0.765,96,2425,144,27,69,50,41,1154,18,27.9,4,96,66,0.593,3.52,162,162,148,14,9,3,46,1469,1372,648,575,120,451,64,1245,19,5,49,6132,125,3.5,1.241,8.4,0.7,2.8,7.6,2.76,1077
1996,BAL,4,0,cs,45,31.1,5.82,163,6494,5689,949,1557,299,29,257,914,76,40,645,915,0.274,0.35,0.472,0.822,106,2685,134,61,31,67,49,1154,23,28.9,5.54,88,74,0.543,5.14,163,163,150,13,1,1,44,1468.2,1604,903,839,209,597,35,1047,38,5,38,6460,96,4.89,1.499,9.8,1.3,3.7,6.4,1.75,1151
